epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6
0.029103164,0.15072832,0.13709663,0.28676304,0.1385309,0.11526648
0.041160006,0.5292197,0.18530805,0.28067333,0.20757765,0.2402087
0.014398051,0.11878857,0.14250037,0.12596224,0.17202511,0.17627817
0.024106652,0.14455563,0.09591817,0.18400429,0.10762467,0.09163311
0.013808718,0.1141383,0.14842053,0.13151664,0.12617649,0.10684776
0.02266219,0.17723303,0.120366774,0.1184769,0.18265781,0.107364096
0.016432898,0.19906156,0.16854613,0.21910454,0.10405268,0.11912831
0.038062334,0.17495653,0.21691447,0.1287836,0.1940394,0.1715774
0.011464474,0.6328632,0.96146846,0.11416384,0.19356962,0.26696813
0.025107669,0.1347327,0.14168288,0.1253627,0.30274886,0.15346678
0.016737312,0.20682889,0.21174364,0.13524577,0.09173152,0.18870786
0.015922219,0.27007702,0.192014,0.122575365,0.25043312,0.239553
0.015949246,0.27759856,0.29526114,0.081083424,0.17226517,0.07440887
0.016746394,0.16758011,0.23057294,0.19844465,0.09710153,0.18282127
0.024623238,0.13641621,0.16688806,0.07354154,0.09333354,0.11541222
0.03128096,0.29695618,0.11225792,0.17864129,0.19136912,0.10573331
0.016728576,0.18665603,0.16536126,0.09537526,0.20656022,0.16414717
0.022381995,0.09577154,0.24934939,0.1581245,0.1307863,0.11399266
0.04448842,0.13071698,0.123650074,0.10016656,0.1128141,0.1719563
0.015482794,0.37323087,0.23933469,0.13138482,0.13050507,0.14622752
0.018190207,0.12919582,0.09352935,0.10173883,0.08832895,0.13921878
0.040288575,0.2438061,0.15886195,0.123707056,0.19644721,0.17125264
0.06434377,0.3348707,0.22738756,0.17577346,0.13167872,0.17647904
0.040727686,0.16547866,0.29160184,0.20348746,0.3448208,0.15619679
0.036210038,0.3117236,0.21407552,0.2225602,0.45307192,0.16147685
0.021825938,0.366446,0.15425207,0.22715837,0.19420244,0.20917676
0.040278547,0.25879398,0.18213417,0.14748302,0.16182223,0.23198979
0.033090852,0.13099353,0.13917601,0.13250025,0.25174606,0.15245123
0.020887904,0.19017418,0.24157463,0.2387703,0.1410497,0.20027538
0.032571703,0.1736594,0.2549504,0.18691213,0.17432353,0.12834865
0.03549099,0.10910173,0.16794811,0.19160481,0.11702924,0.17385814
0.06127239,0.14931276,0.42402232,0.13116491,0.089031845,0.09394887
0.048683364,0.2720492,0.22961539,0.13765098,0.1702314,0.13907008
